,tweet_id,sentiment,content
173,1957006547,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
174,1957006674,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
183,1957007633,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
185,1957008075,sadness,Took a shift tomorrow.    I don't really feel like working right now.
186,1957008193,sadness,but now i have no money for a phone
191,1957008498,sadness,Too bad the Red Devils.. disappointing to say the least
193,1957008802,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
200,1957011291,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
202,1957012476,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
204,1957012769,sadness,is a bad friend
211,1957013885,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
213,1957013896,sadness,@lenje - Still a pity it comes with no lamb though
214,1957014267,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
226,1957016697,sadness,Had to cancel wow for now
228,1957017164,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
233,1957017522,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
234,1957017595,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
236,1957018061,sadness,Up late with nothin 2 do.....
242,1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer
245,1957020180,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
246,1957020385,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
250,1957020702,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
254,1957021305,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
267,1957025428,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
268,1957026475,sadness,It's pissing me off and not letting me follow ericka
269,1957027495,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
270,1957027630,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
275,1957028895,sadness,I haven't seen Muffin in two whole days!
276,1957029111,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
281,1957030545,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
291,1957032228,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
293,1957033043,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
297,1957033776,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
301,1957034202,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
304,1957034566,sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
308,1957035564,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
313,1957038324,sadness,my teeth and head hurts
314,1957038398,sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
321,1957039456,sadness,no more arrested development. i am sad.
323,1957039894,sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
324,1957039922,sadness,I feel so deflated. No more doggy.
326,1957040172,sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
327,1957040395,sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
328,1957040988,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
331,1957041745,sadness,Fuuudge. Movie store is closed
332,1957041767,sadness,ALO is so sad and quiet and empty tonight
336,1957042316,sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
343,1957043226,sadness,Sad that Christian Lacroix had to file bankruptcy
344,1957043241,sadness,I dont feel good AT ALL. fuckkk
351,1957045395,sadness,Have to go to the dreaded DMV tomorrow
353,1957045692,happiness,english class! working on interactive orals
361,1957047571,sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
364,1957048027,sadness,God I just want to sleep.
367,1957049167,sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
370,1957050747,sadness,@RealBlackWidow But but I dun wanna
371,1957050890,sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
372,1957051517,sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
376,1957052932,sadness,feels sick to my stomach and idkk whyy
381,1957053566,sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
385,1957055981,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*
386,1957056027,sadness,@judyrey  The link doesn't work
395,1957058504,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
396,1957059348,sadness,my stupid tooooth hurts
399,1957059917,sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
410,1957062827,sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
412,1957063845,sadness,@Penguin_J heehee. i love you! i am tired.
416,1957064575,sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
418,1957064908,sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
425,1957067988,sadness,@joiskol  being in your room makes me sad.
428,1957068880,sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
429,1957069453,sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
432,1957070534,sadness,@meljachin: eww. dislike
435,1957071331,sadness,"@SuzyDunkley sorry bout the cat,"
441,1957072896,sadness,missed iron chef
442,1957073073,sadness,@thevowel the DS version sucks
443,1957073201,sadness,what a bad day
455,1957075268,happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
459,1957076048,sadness,went to the cd store to search for the cd. But
461,1957076433,sadness,I miss my mom..  &quot;May angels lead you in&quot;
465,1957077552,sadness,@chocolovere i feel the same way every day
466,1957077564,sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
468,1957078157,sadness,Sleppytime. Really missing my godfather right now. Love you Wayne
469,1957078740,sadness,So have a headache right now and it sucks
472,1957079403,sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
473,1957079496,sadness,"comfort food of the day: pan mee. though, it didnt taste any good.."
475,1957079568,sadness,misses my baby.
480,1957080579,sadness,I'm poorly and can't sleep
488,1957082926,sadness,has work tom.
493,1957083616,sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
498,1957084166,sadness,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
499,1957084446,sadness,@nickkk_ that sucks!
501,1957084638,sadness,Having Fever  dont feel to work
504,1957084945,sadness,missing @MeLDiBiAsE...6 days can't pass quick enough
506,1957085211,sadness,"Working from home today, my back is killing me  Doctor and then physio after later today."
508,1957086137,happiness,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
516,1957087793,sadness,Missing you all deeply
518,1957088179,happiness,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
519,1957088224,sadness,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
523,1957089208,sadness,I don't want her to leave..
525,1957089465,happiness,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
530,1957090408,sadness,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
532,1957090496,sadness,@WillyNorthpole I wish I was there
533,1957090643,sadness,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
536,1957091327,sadness,morning again! I hate mornings. So offensive!
538,1957091372,sadness,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
540,1957092017,sadness,@brianshead waah. We're no longer your peeps.
541,1957092623,sadness,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
543,1957093069,happiness,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
549,1957093920,sadness,@MariusLT I'm sorry about your bad driving experiences.
551,1957094323,sadness,Already misses @CMontecillo
557,1957096324,sadness,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
564,1957098844,sadness,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick
565,1957098983,sadness,"First my work computer, now my home laptop is fucked."
574,1957100428,sadness,@joek949 It's depressing I'm stuck inside all day
576,1957100791,sadness,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
578,1957101953,happiness,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
579,1957102054,sadness,"Woke Up,I Wanna Stay In My bed"
582,1957102464,sadness,Upsidedown tomato plants died!
587,1957103831,sadness,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
588,1957103842,happiness,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
595,1957104948,sadness,@prncsztalia why do you hate me!?
598,1957105755,sadness,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
600,1957106328,sadness,#jonaswebcast i just missed it!!!!
603,1957106916,sadness,So exhausted..can't sleep. I don't like these nights
604,1957107095,sadness,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
607,1957108151,sadness,@NothinButSin sorry to hear that.
609,1957109281,sadness,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
615,1957111072,sadness,finished a whole box of ice cream
624,1957112843,happiness,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
629,1957113346,happiness,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
630,1957113650,sadness,@chrisontv88 btw I am not a wimp
634,1957114575,sadness,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
637,1957114960,sadness,I don't wanna go back to work   sleepy time.
645,1957116289,sadness,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
653,1957117968,sadness,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
654,1957118155,sadness,I miss my friend
656,1957118513,sadness,Yea i just saw this really sad commercial
657,1957118612,sadness,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
663,1957120549,sadness,Hates having to sleep alone
667,1957120981,sadness,I loved johnny carson now I'm going to hate seeing jay leno go
668,1957121259,sadness,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
671,1957121970,sadness,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
676,1957122923,sadness,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
677,1957123048,happiness,@UniqueMakis Awesome! Wish I could fly out to see her
678,1957123281,sadness,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
688,1957125620,sadness,@Dakshinamurti Not yet... sorry
692,1957126750,sadness,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
698,1957128448,happiness,someone take me to LA  I NEED TO SEE THE LEMON TREE
699,1957128473,sadness,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
700,1957128727,sadness,tummy ache.
705,1957130105,happiness,"@hiracdelest who's the one always working now?  oh yeah, still me."
708,1957130797,sadness,"@askegg I'm sorry, Andrew. I wish there was something I could do..."
709,1957131196,sadness,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
711,1957131626,sadness,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
712,1957131642,happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
725,1957133923,sadness,"I can't sleep, this is so darn frustrating."
728,1957134402,sadness,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
729,1957134460,sadness,RIP kelly  fucccccck
734,1957135976,sadness,Not feeling too good
735,1957136360,sadness,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
740,1957137074,sadness,i miss oklahomaaaaa  listening to citizen cope til i pass out.
747,1957139587,sadness,its funny. i'm kinda sad on my last day
750,1957139854,sadness,Jenny fell asleep and didn't come over
752,1957140211,sadness,Wishes you had teased me with movie night
754,1957140443,sadness,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
758,1957141622,sadness,@IvanaE i love it to.. but i knw there gna cut stuff out on tv
760,1957142001,sadness,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.
766,1957143236,sadness,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
767,1957143446,sadness,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8
768,1957143564,sadness,"off to work now, finish about 9pm  booooo."
769,1957143679,sadness,Wishes you hadn't teased me with movie night
773,1957145383,sadness,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
781,1957145956,sadness,should be sleeping.  lost my voice a couple day ago.
783,1957146363,sadness,I was too sleepy earlier and i didnt get to see matt
786,1957146963,sadness,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now
790,1957147399,sadness,how to have a glowing face? my complexion is always so pale
791,1957147422,sadness,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
803,1957149170,happiness,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
811,1957150462,sadness,oh no my tweetdeck is malfunctioning :O il have web will its fixd
812,1957150576,sadness,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)"
813,1957151064,sadness,@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday
818,1957151748,sadness,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck
822,1957152662,sadness,Annnnnnddd another one bites the dust
828,1957153926,sadness,"on my 42nd written fuck.. i get less ideas every day, and every day"
838,1957155610,sadness,@hammett I wish I could have time for my xbox  project all tied
849,1957158904,sadness,And trash repops.  Getting it tomorrow night I suppose.
853,1957160024,sadness,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
854,1957160410,sadness,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj
855,1957160428,sadness,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
857,1957160631,sadness,Missing Everyone
864,1957161860,sadness,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
874,1957163968,sadness,@wired that is so sad
881,1957165933,sadness,is still sick  sigh
884,1957166877,sadness,i feel really weird
889,1957167519,sadness,my throat hurts  gonna go read and go to bed. text mee!
893,1957168762,sadness,fjdskal im really frustrated.
895,1957168966,sadness,Wondering how come mcdonalds take so long to deliver my food.
897,1957169132,sadness,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
899,1957169213,sadness,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
901,1957169451,sadness,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
912,1957173062,sadness,what a beautiful day - shame I've got to spend it in an office
916,1957174125,sadness,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
917,1957174158,sadness,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
918,1957174207,sadness,http://twitpic.com/664b7 - miss my bestfriend :'( now she left school
921,1957175219,sadness,Tummy hurts
923,1957175385,sadness,farewelling an employee tonight...
926,1957175586,sadness,"Morning all. The water heating's packed up, so i can't have a bath. I REALLY want a bath!"
927,1957175992,sadness,@heavenlyriot Girls are confusing.
928,1957176048,sadness,@ lyrically_Me   Why would you do that to me?!
930,1957176357,sadness,Blackout in the city is never good
932,1957177248,happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
942,1957180598,sadness,@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon
945,1957181678,sadness,@t_isfortammy Sad tweets are sad
948,1957181947,sadness,Have decided I just can't stand @GuyKawasaki's Alltop spam any longer.
951,1957182382,sadness,i miss rich
952,1957182504,sadness,Headache of the century coming- I can feel it  Fuck.
953,1957182827,sadness,disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.
959,1957183897,sadness,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it
967,1957188146,sadness,@narain Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...
969,1957188800,sadness,@xMyLifesAStoryx rob got lucky that game he beat me 209-205
973,1957188950,sadness,home from school had the shitest day today
976,1957189551,sadness,"@hobosexual lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/"
978,1957189924,sadness,Sitting by myself. Everyone took the good seats.
980,1957190291,sadness,@sfannah Ahhhhh  Well at least I'm up to!
982,1957190952,sadness,@DHughesy ME! oh wait wrong state
984,1957191024,happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
987,1957191516,sadness,Sorry was that mean
994,1957192397,sadness,"@rscheuer sorry, is only in spanish for the moment"
1003,1957194329,happiness,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
1005,1957194454,sadness,has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&amp;d this sat ...is a sad panda
1007,1957194802,sadness,not well
1008,1957194936,sadness,@Miss_Rain oh what the hell  way to tell me.
1010,1957195244,sadness,@theblackestsea oh crap!!
1011,1957195455,happiness,so carlie came over and she fell asleep on me
1015,1957195949,sadness,@shaundiviney i didnt get the msg!! :'( but i bought princess
1020,1957196825,sadness,"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude..."
1021,1957196855,sadness,"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor"
1023,1957197786,sadness,@Madush oh my... now im offended.  ha
1030,1957198814,sadness,The 3d version of Up sold out   regular version it is!
1032,1957199055,sadness,@NickTheIntern my love!!! We still havn't done lunch together like we said we would.. I miss you my friend
1033,1957199368,happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
1044,1957203110,happiness,@allyycase suuure
1047,1957203878,sadness,now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?
1052,1957204970,sadness,bed. with stomach ache
1057,1957206063,sadness,lappy charger is completely dead... conserving what's left of the battery until i can afford to buy a new one
1058,1957206142,sadness,finally accepting the fact that all cute guys are taken
1067,1957207318,sadness,@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.
1073,1957208462,sadness,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.
1077,1957209188,happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
1083,1957211192,happiness,"up early again  loads to do- but the suns out, hurrah!"
1087,1957213189,happiness,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
1088,1957213250,sadness,Matty is le tired.
1093,1957214887,sadness,@NellaGrl not really having a good night... missing my little girl...
1096,1957215920,sadness,Nite Tweeple.  Tomorrow will be day 25 at work.
1098,1957216150,sadness,Ahh man up and getting ready for work  I wanna sleep!!!
1099,1957216446,sadness,@JasmineCJones  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol
1100,1957216776,sadness,Wish I was at sri panwa now
1112,1957219010,sadness,"wants to listen to musiq soulchild, but it is not on the iPod"
1114,1957219264,sadness,i miss seeing fireflies.....
1123,1957223393,sadness,@Brookeleeadams hang in there- health should be priority #1 right now! i do hate seeing good people get mistreated so i'm genuinely sorry
1125,1957223703,happiness,@ColeDavid had  a little family party tonight   hope it rocked
1128,1957224360,sadness,Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job. @pattymlt got my game face on!
1129,1957224368,sadness,@Saresa And I feel your pain.
1131,1957224712,sadness,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!
1133,1957225471,sadness,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday"
1142,1957227521,sadness,@Jessicaveronica you guys gonna tour with Short Stack again? I missed your last tour  Me friend went and said it was mad!
1150,1957228449,sadness,I'm going to miss Miss Suhana
1152,1957228670,sadness,Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio
1172,1957233877,sadness,I should go get a life. Sam just texted me 'Phuture tonight?'  http://sgBEAT.com/pic/81/
1175,1957235120,sadness,sad that will have to leave my beautiful apartment
1179,1957236672,sadness,@greco31 I've been trying not to think about that!
1189,1957238515,sadness,Waiting on the bus! I miss my car
1190,1957238725,sadness,"says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5"
1193,1957239436,sadness,It is kind of lonely when nobody will answer their phone.
1194,1957239570,sadness,Rest In Peace  ADaM 12 &amp; GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya
1205,1957242084,sadness,"is having the worst week, things really do happen in threes"
1208,1957242838,sadness,@katrinalmoreno and im an idiot for missing their last show
1225,1957245960,sadness,@chuybe. you left me first .. and left your bed here for me to look at
1230,1957247328,sadness,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!"
1233,1957247855,sadness,Sadly I am bprohibiting myself from tweeting tonight. Sorry
1240,1957249452,sadness,"@kesoleil Oh man, Did Yogg today. Worse than last week."
1253,1957254388,sadness,@anant25121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
1261,1957257295,happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...
1263,1957257636,sadness,cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*
1266,1957259752,happiness,hahaha yeah i see that. but he can't twitter me back
1267,1957259756,sadness,"have to stay away from home, and since this part of india dnt hav gud wireless internet, im fucked"
1269,1957259948,sadness,Wookei why did you never accept my psn friend request
1271,1957260515,sadness,@davidaKaplan As do I  Leopold says hello.
1272,1957261056,sadness,because my dad has the tv to loud. Then i get creeped out cuz im from a dodgy neighbourhood and there was someone in my bush.
1273,1957261841,sadness,"cant talk very well, just remembering about something once said to me...  not a good thing fucking bully nasty pieces of work arrrrgrrrrrr"
1275,1957261950,sadness,@tiataquito you stop it
